order_id,customer_id,restaurant_id,order_date,delivery_time,status,total_amount,payment_mode,discount_applied,feedback_rating
47,30,32,2025-08-29 19:08:49,2025-08-29 20:19:49,Delivered,1902.9,Debit Card,400.52,4
48,35,22,2026-05-08 11:07:25,2026-05-08 12:02:25,Delivered,320.55,Cash,25.31,4
49,31,44,2026-03-27 21:24:02,2026-03-27 22:02:02,Cancelled,1651.3,Credit Card,463.81,5
50,60,42,2025-08-13 10:22:39,2025-08-13 10:52:39,Delivered,848.97,UPI,183.37,2
51,31,18,2026-04-18 09:39:32,2026-04-18 10:33:32,Delivered,2496.56,UPI,62.31,3
52,12,30,2026-04-10 02:33:48,2026-04-10 03:05:48,Delivered,995.84,Cash,69.16,3
53,54,3,2026-06-06 06:09:28,2026-06-06 06:56:28,Delivered,2394.73,Debit Card,77.13,4
54,92,21,2026-01-02 22:02:31,2026-01-02 23:12:31,Delivered,2440.67,UPI,316.54,2
55,24,4,2026-02-01 08:09:40,2026-02-01 09:37:40,Delivered,2263.1,Credit Card,51.28,3
56,36,48,2026-01-31 23:56:50,2026-02-01 00:31:50,Delivered,1947.84,Cash,112.52,3
57,24,29,2026-05-30 18:23:10,2026-05-30 19:31:10,Pending,652.15,Debit Card,364.03,3
58,75,25,2025-12-23 16:01:01,2025-12-23 17:22:01,Delivered,1186.06,Cash,391.38,2
59,77,17,2025-09-20 00:50:27,2025-09-20 01:32:27,Delivered,1607.95,Credit Card,68.42,5
60,60,32,2026-06-21 14:40:34,2026-06-21 15:13:34,Delivered,466.26,UPI,419.67,1
61,30,3,2025-12-25 03:49:50,2025-12-25 04:24:50,Delivered,1385.21,Cash,277.38,2
62,71,12,2026-05-28 18:02:35,2026-05-28 19:30:35,Pending,1686.21,UPI,167.43,1
63,5,41,2025-10-06 18:24:57,2025-10-06 19:41:57,Delivered,1406.25,Debit Card,402.51,3
64,70,36,2026-01-29 17:06:29,2026-01-29 17:52:29,Delivered,323.8,Credit Card,393.09,4
65,9,9,2025-11-03 03:46:00,2025-11-03 04:43:00,Delivered,1405.47,UPI,364.9,3
66,51,18,2025-10-31 22:21:48,2025-10-31 22:48:48,Delivered,409.66,Cash,488.93,2
67,81,38,2026-02-20 14:26:10,2026-02-20 15:40:10,Delivered,1505.18,Cash,96.9,4
68,51,36,2026-04-09 21:56:50,2026-04-09 22:47:50,Cancelled,866.21,Credit Card,209.34,5
69,44,15,2026-04-29 20:21:21,2026-04-29 20:47:21,Delivered,2079.95,Debit Card,213.94,4
70,19,25,2025-10-17 10:37:09,2025-10-17 11:54:09,Pending,1531.44,Debit Card,474.59,2
71,41,19,2025-11-28 04:13:52,2025-11-28 05:00:52,Delivered,1513.54,Cash,18.95,2
72,92,10,2025-11-19 14:52:39,2025-11-19 15:40:39,Cancelled,1404.57,UPI,363.64,4
73,49,18,2026-04-12 18:23:57,2026-04-12 19:09:57,Delivered,1090.38,Cash,497.59,1
74,5,21,2026-06-03 11:55:27,2026-06-03 12:24:27,Delivered,2398.65,UPI,126.62,5
75,2,50,2026-01-30 05:27:58,2026-01-30 06:04:58,Delivered,419.09,Debit Card,189.1,1
76,68,10,2025-10-18 18:02:32,2025-10-18 19:01:32,Delivered,1650.49,UPI,121.95,4
77,14,49,2025-07-01 12:32:22,2025-07-01 13:41:22,Pending,257.55,UPI,315.3,3
78,77,42,2026-04-19 10:31:03,2026-04-19 11:45:03,Cancelled,1311.66,Debit Card,354.89,1
79,98,8,2026-03-10 09:59:13,2026-03-10 10:26:13,Cancelled,1570.8,UPI,38.88,5
80,29,29,2026-02-26 09:52:09,2026-02-26 10:39:09,Delivered,2034.13,Cash,176.91,1
81,1,7,2026-05-27 21:46:25,2026-05-27 22:43:25,Delivered,2498.15,Debit Card,329.99,5
82,3,10,2025-12-30 00:05:44,2025-12-30 00:26:44,Delivered,526.81,Cash,95.65,3
83,72,34,2025-11-15 11:28:56,2025-11-15 12:36:56,Delivered,1963.58,Cash,288.4,4
84,57,4,2026-02-05 01:55:27,2026-02-05 02:43:27,Delivered,761.54,Debit Card,363.5,2
85,79,26,2025-11-18 02:38:46,2025-11-18 03:34:46,Delivered,2013.42,UPI,273.12,4
86,24,24,2026-03-10 12:36:10,2026-03-10 13:07:10,Delivered,1175.1,Debit Card,189.62,1
87,88,15,2025-07-07 23:32:46,2025-07-08 00:03:46,Delivered,793.49,UPI,11.14,3
88,69,45,2025-10-07 19:50:20,2025-10-07 20:18:20,Delivered,1000.07,Cash,264.05,4
89,91,15,2025-09-19 00:48:04,2025-09-19 01:42:04,Delivered,452.89,Cash,291.75,1
90,24,32,2026-04-14 22:01:47,2026-04-14 23:22:47,Delivered,2233.53,Cash,202.91,3
91,21,10,2026-01-02 19:24:28,2026-01-02 19:50:28,Pending,1520.92,Debit Card,395.89,5
92,82,31,2026-03-01 14:55:24,2026-03-01 15:27:24,Delivered,500.87,UPI,329.49,4
93,95,31,2025-07-04 00:00:30,2025-07-04 01:23:30,Delivered,702.04,UPI,283.17,1
94,20,4,2026-03-04 06:54:38,2026-03-04 07:16:38,Delivered,2346.51,Cash,431.23,2
95,68,35,2026-04-22 06:55:47,2026-04-22 08:03:47,Pending,484.29,Credit Card,149.72,3
96,50,18,2025-07-25 01:53:16,2025-07-25 02:48:16,Delivered,748.78,UPI,159.39,5
97,39,46,2026-03-27 18:08:55,2026-03-27 18:38:55,Delivered,1265.84,Credit Card,160.88,1
98,87,14,2026-03-29 21:03:32,2026-03-29 22:08:32,Delivered,1626.89,Credit Card,379.16,5
99,87,6,2025-08-25 22:43:11,2025-08-25 23:44:11,Delivered,2465.17,Debit Card,447.55,5
100,74,4,2026-02-15 12:30:31,2026-02-15 13:04:31,Delivered,635.26,UPI,258.32,1
101,41,4,2026-06-01 11:44:24,2026-06-01 12:12:24,Delivered,2221.81,Cash,368.87,3
102,37,5,2025-12-30 19:29:53,2025-12-30 20:42:53,Delivered,964.58,Debit Card,188.68,4
103,98,48,2025-10-02 15:58:45,2025-10-02 16:26:45,Delivered,1439.53,UPI,431.45,3
104,19,13,2026-04-15 10:16:34,2026-04-15 10:51:34,Delivered,226.04,UPI,319.8,1
105,91,49,2026-03-30 15:56:37,2026-03-30 17:22:37,Delivered,226.71,Cash,254.04,3
106,55,8,2026-04-12 10:27:58,2026-04-12 11:10:58,Delivered,523.75,Credit Card,139.28,2
107,85,34,2025-12-31 08:48:58,2025-12-31 09:10:58,Delivered,2085.83,Cash,173.09,3
108,94,45,2026-06-20 23:19:51,2026-06-20 23:40:51,Delivered,1693.47,Debit Card,435.51,5
109,29,17,2025-12-18 15:09:03,2025-12-18 16:25:03,Pending,2320.48,Credit Card,174.61,5
110,32,11,2025-08-11 04:56:21,2025-08-11 06:21:21,Delivered,970.91,Cash,220.91,1
111,93,40,2026-02-08 01:16:00,2026-02-08 01:45:00,Pending,314.53,Cash,491.05,5
112,48,41,2026-04-11 08:29:17,2026-04-11 09:09:17,Delivered,1578.24,Cash,256.48,2
113,5,48,2025-08-20 01:40:21,2025-08-20 02:24:21,Delivered,1615.26,UPI,441.93,3
114,93,29,2025-11-26 19:48:09,2025-11-26 20:23:09,Cancelled,192.53,Cash,156.64,5
115,57,33,2025-12-19 17:08:35,2025-12-19 17:41:35,Delivered,1307.72,Debit Card,478.98,2
116,28,31,2026-01-10 02:20:19,2026-01-10 02:55:19,Delivered,246.88,Debit Card,112.17,4
117,77,31,2026-02-27 10:03:50,2026-02-27 11:21:50,Delivered,1398.05,UPI,467.35,1
118,89,35,2026-04-08 20:47:56,2026-04-08 21:31:56,Delivered,2091.5,Debit Card,90.31,2
119,71,38,2025-12-31 15:45:54,2025-12-31 16:06:54,Delivered,1350.4,Cash,174.63,5
120,69,16,2026-06-11 18:58:55,2026-06-11 19:52:55,Delivered,214.48,UPI,147.49,2
121,27,11,2025-12-13 08:43:32,2025-12-13 09:55:32,Delivered,585.98,UPI,285.97,1
122,65,40,2026-04-21 05:23:19,2026-04-21 06:33:19,Delivered,1583.87,Debit Card,498.1,1
123,64,25,2025-08-26 01:08:16,2025-08-26 01:41:16,Delivered,2177.01,UPI,185.59,1
124,79,39,2025-10-28 17:25:00,2025-10-28 18:45:00,Delivered,2006.44,Credit Card,378.62,5
125,74,49,2025-11-19 02:17:05,2025-11-19 03:43:05,Delivered,1219.88,UPI,210.85,2
126,6,15,2025-08-07 08:32:36,2025-08-07 09:19:36,Delivered,1003.05,Credit Card,273.92,3
127,68,21,2025-09-30 14:18:00,2025-09-30 15:41:00,Delivered,987.4,Cash,375.42,2
128,74,4,2025-11-07 04:43:13,2025-11-07 05:18:13,Delivered,484.01,Cash,429.91,5
129,7,12,2026-01-21 05:21:37,2026-01-21 05:47:37,Delivered,491.34,Credit Card,152.84,3
130,6,20,2026-02-18 14:22:42,2026-02-18 14:42:42,Delivered,1868.62,Credit Card,251.58,2
131,93,48,2026-02-28 02:59:08,2026-02-28 03:35:08,Delivered,232.54,Debit Card,259.71,5
132,55,22,2026-03-25 14:44:55,2026-03-25 15:37:55,Delivered,715.61,UPI,239.0,2
133,81,32,2026-01-24 01:31:21,2026-01-24 02:39:21,Delivered,939.05,Cash,115.54,2
134,94,24,2025-12-15 15:36:07,2025-12-15 16:36:07,Delivered,2456.29,Cash,103.3,4
135,14,36,2025-10-10 21:28:08,2025-10-10 21:59:08,Delivered,1168.0,Debit Card,264.67,5
136,55,13,2025-12-09 23:52:00,2025-12-10 01:03:00,Cancelled,1314.08,Debit Card,147.79,1
137,51,11,2025-08-09 08:28:19,2025-08-09 09:16:19,Delivered,1997.31,UPI,187.14,5
138,89,49,2025-12-22 11:26:23,2025-12-22 12:35:23,Delivered,1140.31,Cash,38.33,5
139,92,36,2025-09-08 08:14:02,2025-09-08 09:21:02,Delivered,604.26,UPI,67.12,4
140,42,32,2026-04-14 01:34:09,2026-04-14 02:14:09,Delivered,1643.29,UPI,49.14,4
141,74,41,2025-09-08 20:44:50,2025-09-08 21:23:50,Pending,1215.18,Debit Card,139.69,5
142,49,24,2026-04-10 16:25:23,2026-04-10 17:08:23,Delivered,1090.69,Debit Card,5.67,3
143,53,30,2025-12-04 01:41:55,2025-12-04 02:59:55,Delivered,1248.87,Cash,493.49,4
144,73,47,2026-05-06 11:09:10,2026-05-06 12:24:10,Cancelled,651.57,Credit Card,253.62,3
145,43,23,2025-12-09 07:21:38,2025-12-09 08:17:38,Delivered,549.44,Debit Card,196.04,3
146,35,26,2025-11-14 14:41:36,2025-11-14 16:07:36,Pending,1666.2,Debit Card,83.95,1
147,33,5,2025-07-05 08:45:21,2025-07-05 10:08:21,Delivered,2327.41,Cash,489.01,4
148,68,5,2026-03-20 04:57:49,2026-03-20 05:31:49,Delivered,1291.92,Credit Card,309.29,2
149,31,42,2025-12-27 21:04:19,2025-12-27 21:37:19,Delivered,1300.85,Cash,250.31,5
150,39,1,2025-12-19 22:09:17,2025-12-19 23:26:17,Delivered,293.88,Debit Card,87.15,3
151,72,42,2025-11-26 21:59:19,2025-11-26 23:13:19,Cancelled,1830.91,Debit Card,145.18,1
152,15,22,2025-08-04 02:04:30,2025-08-04 03:34:30,Delivered,324.38,UPI,174.12,4
153,36,29,2026-02-25 05:02:41,2026-02-25 06:11:41,Delivered,363.54,Cash,319.06,3
154,68,48,2026-04-07 09:38:18,2026-04-07 10:10:18,Delivered,702.98,UPI,10.82,4
155,69,41,2026-03-24 13:52:02,2026-03-24 15:14:02,Delivered,1185.86,Credit Card,489.74,5
156,5,50,2025-07-28 20:26:47,2025-07-28 21:45:47,Delivered,1947.7,Debit Card,124.94,1
157,63,16,2025-08-29 01:11:27,2025-08-29 01:44:27,Delivered,1154.17,Cash,201.08,3
158,41,6,2026-03-27 07:01:21,2026-03-27 07:24:21,Delivered,687.63,Cash,328.57,5
159,55,21,2025-11-12 16:29:22,2025-11-12 17:54:22,Delivered,628.13,Cash,424.01,1
160,27,23,2026-04-30 03:45:55,2026-04-30 04:22:55,Delivered,1802.21,Cash,416.33,4
161,54,4,2025-11-21 15:44:03,2025-11-21 16:08:03,Delivered,2221.63,Debit Card,458.66,5
162,41,6,2026-04-18 02:48:03,2026-04-18 04:18:03,Delivered,1627.04,UPI,422.03,3
163,8,19,2025-09-26 10:01:10,2025-09-26 10:53:10,Pending,2435.97,Credit Card,277.79,3
164,83,32,2026-01-25 22:59:55,2026-01-25 23:57:55,Delivered,2479.76,UPI,381.8,4
165,29,37,2026-01-06 20:04:28,2026-01-06 21:13:28,Delivered,427.38,UPI,405.48,4
166,98,32,2025-10-11 09:13:00,2025-10-11 09:43:00,Cancelled,915.8,Cash,416.83,3
167,59,50,2025-08-31 17:42:40,2025-08-31 18:27:40,Delivered,1859.03,Debit Card,234.48,5
168,64,3,2026-01-01 20:08:53,2026-01-01 21:20:53,Delivered,2049.35,UPI,189.26,3
169,10,35,2026-03-08 01:39:08,2026-03-08 02:21:08,Delivered,702.37,Debit Card,404.07,5
170,4,16,2026-03-23 17:17:32,2026-03-23 17:46:32,Pending,1625.41,Cash,360.78,5
171,32,22,2025-12-09 04:09:59,2025-12-09 05:06:59,Delivered,2234.37,Credit Card,131.69,4
172,54,28,2025-12-31 15:55:50,2025-12-31 16:19:50,Delivered,447.06,Credit Card,294.89,2
173,99,37,2025-12-09 23:08:50,2025-12-10 00:11:50,Delivered,1677.42,Credit Card,57.96,4
174,16,41,2026-02-22 18:13:14,2026-02-22 18:53:14,Delivered,589.36,Credit Card,88.28,5
175,87,39,2025-09-05 10:47:03,2025-09-05 11:28:03,Delivered,526.24,Cash,304.39,2
176,76,22,2026-03-02 00:17:10,2026-03-02 01:24:10,Delivered,1547.99,Cash,318.18,5
177,43,1,2025-12-24 01:21:41,2025-12-24 02:41:41,Delivered,828.05,Cash,149.4,1
178,12,2,2025-10-14 06:12:08,2025-10-14 07:01:08,Delivered,500.1,UPI,249.3,2
179,10,27,2026-06-09 00:55:29,2026-06-09 01:30:29,Delivered,1428.63,Debit Card,106.79,2
180,92,41,2026-04-27 03:55:26,2026-04-27 04:49:26,Delivered,1962.7,Credit Card,484.33,5
181,36,5,2026-05-14 14:36:40,2026-05-14 15:03:40,Delivered,1083.16,Credit Card,192.97,3
182,1,12,2026-02-26 18:43:57,2026-02-26 19:31:57,Delivered,306.41,Credit Card,244.55,4
183,68,37,2026-01-30 05:44:35,2026-01-30 06:43:35,Delivered,1351.39,UPI,340.64,3
184,41,48,2026-01-15 23:47:09,2026-01-16 00:43:09,Delivered,1148.88,Cash,270.78,5
185,9,3,2025-09-03 18:50:01,2025-09-03 20:20:01,Delivered,1554.73,Cash,197.1,4
186,76,4,2025-11-09 22:17:45,2025-11-09 23:45:45,Cancelled,187.19,UPI,368.5,3
187,40,6,2025-09-01 19:52:27,2025-09-01 21:15:27,Delivered,952.73,Cash,443.77,1
188,29,42,2025-07-27 22:17:21,2025-07-27 23:24:21,Delivered,1399.53,UPI,129.99,5
189,30,18,2026-06-03 14:42:48,2026-06-03 15:15:48,Delivered,1668.54,Cash,108.69,5
190,10,11,2026-06-05 23:49:29,2026-06-06 00:56:29,Delivered,1214.86,Debit Card,81.7,1
191,98,29,2025-12-11 19:33:08,2025-12-11 20:00:08,Delivered,1577.95,UPI,289.49,3
192,94,13,2026-06-04 12:26:57,2026-06-04 12:50:57,Delivered,446.13,Credit Card,200.49,3
193,38,37,2026-01-04 21:20:57,2026-01-04 21:49:57,Delivered,742.76,Debit Card,251.94,5
194,2,45,2026-05-04 11:00:14,2026-05-04 12:02:14,Delivered,2236.72,Cash,248.55,3
195,89,20,2026-05-27 20:38:56,2026-05-27 22:07:56,Delivered,2414.43,UPI,186.89,4
196,29,22,2025-12-28 00:11:25,2025-12-28 01:20:25,Delivered,1359.43,Debit Card,474.81,5
197,2,12,2025-10-05 04:17:23,2025-10-05 05:36:23,Delivered,1987.21,Cash,189.85,2
198,72,16,2025-08-14 05:07:28,2025-08-14 05:35:28,Delivered,1584.76,Credit Card,220.92,1
199,43,36,2026-05-02 14:01:44,2026-05-02 15:25:44,Delivered,640.36,Cash,355.54,3
200,47,35,2025-08-09 07:20:43,2025-08-09 08:26:43,Delivered,1720.1,Credit Card,244.24,1
201,79,39,2025-11-06 23:41:17,2025-11-07 00:30:17,Delivered,1108.96,Credit Card,473.49,2
202,45,16,2025-07-28 12:29:03,2025-07-28 13:32:03,Delivered,1598.09,Cash,48.32,3
203,32,49,2025-11-05 01:18:16,2025-11-05 02:01:16,Delivered,380.52,Cash,98.91,3
204,81,20,2025-07-06 01:01:37,2025-07-06 01:59:37,Delivered,1392.69,Debit Card,100.19,1
205,42,13,2025-07-15 21:26:18,2025-07-15 22:54:18,Delivered,1881.24,Cash,9.09,5
206,58,41,2026-06-17 19:18:48,2026-06-17 20:37:48,Delivered,2458.81,Cash,13.2,2
207,82,17,2026-01-16 02:57:00,2026-01-16 03:45:00,Delivered,594.87,Cash,57.49,4
208,47,16,2025-10-28 02:14:54,2025-10-28 03:32:54,Delivered,166.83,UPI,0.35,5
209,1,14,2026-01-09 16:55:46,2026-01-09 17:47:46,Delivered,1839.7,UPI,125.06,3
210,48,33,2025-09-18 00:38:01,2025-09-18 01:07:01,Delivered,287.96,Cash,445.57,1
211,86,9,2025-06-30 13:13:08,2025-06-30 14:23:08,Delivered,546.56,Cash,463.05,4
212,89,13,2026-02-19 00:01:41,2026-02-19 00:33:41,Delivered,1781.4,UPI,197.34,4
213,27,41,2026-02-02 13:19:43,2026-02-02 14:12:43,Delivered,2017.18,UPI,443.1,1
214,52,40,2026-01-30 07:44:38,2026-01-30 08:43:38,Delivered,773.8,UPI,3.33,5
215,74,14,2026-03-19 20:03:45,2026-03-19 21:14:45,Delivered,170.08,Cash,305.9,5
216,87,18,2025-12-29 17:34:07,2025-12-29 17:54:07,Delivered,538.99,UPI,447.15,1
217,40,40,2025-10-11 18:04:44,2025-10-11 19:11:44,Pending,1432.85,Credit Card,488.35,1
218,82,37,2026-05-04 04:58:33,2026-05-04 05:23:33,Delivered,275.08,Debit Card,139.0,2
219,47,17,2026-06-29 10:48:32,2026-06-29 11:51:32,Delivered,1503.06,Cash,371.58,4
220,77,1,2026-05-16 18:16:09,2026-05-16 18:53:09,Pending,884.48,UPI,67.53,2
221,39,10,2026-01-16 20:44:45,2026-01-16 21:09:45,Delivered,322.73,UPI,481.67,4
222,60,1,2025-08-17 05:47:51,2025-08-17 06:58:51,Delivered,187.32,Credit Card,277.28,3
223,97,44,2026-04-19 21:06:51,2026-04-19 22:19:51,Delivered,1659.25,UPI,409.4,1
224,17,4,2025-07-01 15:11:13,2025-07-01 16:26:13,Delivered,366.82,Credit Card,425.58,2
225,40,15,2026-02-08 10:36:22,2026-02-08 11:43:22,Delivered,1096.72,UPI,227.7,2
226,87,27,2025-09-06 21:36:29,2025-09-06 22:31:29,Delivered,1037.8,UPI,437.89,5
227,45,38,2026-06-20 21:25:30,2026-06-20 22:11:30,Delivered,2117.12,UPI,180.52,5
228,64,28,2025-08-14 14:20:06,2025-08-14 15:11:06,Delivered,665.0,Credit Card,110.43,4
229,92,27,2025-10-02 09:42:35,2025-10-02 10:18:35,Delivered,2189.92,UPI,360.22,1
230,50,44,2025-07-24 04:24:46,2025-07-24 05:37:46,Delivered,1327.96,Debit Card,5.57,2
231,9,5,2025-07-16 02:47:55,2025-07-16 04:01:55,Delivered,1802.61,UPI,428.13,5
232,56,34,2026-03-26 17:41:36,2026-03-26 18:58:36,Delivered,782.56,UPI,494.22,1
233,21,42,2025-11-22 23:10:42,2025-11-22 23:32:42,Delivered,253.48,Credit Card,4.55,3
234,11,44,2026-05-24 14:49:09,2026-05-24 15:44:09,Delivered,804.84,UPI,94.66,4
235,97,44,2026-05-14 09:34:26,2026-05-14 10:20:26,Delivered,782.5,Cash,47.88,5
236,78,29,2025-08-21 17:13:18,2025-08-21 18:12:18,Delivered,1723.51,Cash,345.75,5
237,11,25,2025-12-09 05:43:16,2025-12-09 06:21:16,Delivered,1780.21,Credit Card,471.46,1
238,14,37,2026-06-04 23:07:59,2026-06-04 23:46:59,Delivered,2264.86,UPI,398.48,1
239,16,47,2025-08-19 09:34:06,2025-08-19 10:26:06,Cancelled,2295.59,UPI,4.26,1
240,14,45,2025-08-30 15:08:41,2025-08-30 15:56:41,Delivered,2307.71,Debit Card,139.02,4
241,27,35,2025-09-06 02:10:15,2025-09-06 02:53:15,Delivered,1961.99,UPI,164.19,5
242,20,10,2025-07-21 05:32:16,2025-07-21 06:30:16,Delivered,1855.74,Cash,47.64,2
243,81,41,2025-07-24 01:56:18,2025-07-24 02:46:18,Delivered,1378.73,UPI,168.21,3
244,51,8,2025-11-22 05:46:11,2025-11-22 06:28:11,Delivered,527.8,Debit Card,380.73,3
245,12,17,2026-01-29 00:58:27,2026-01-29 02:16:27,Delivered,1215.82,Debit Card,363.54,3
246,19,14,2026-02-18 17:29:12,2026-02-18 18:00:12,Delivered,1287.37,UPI,448.56,3
247,26,22,2025-10-09 15:06:27,2025-10-09 16:35:27,Cancelled,1427.87,Cash,429.77,3
248,79,47,2026-05-04 02:14:42,2026-05-04 03:00:42,Delivered,394.39,Debit Card,33.15,3
249,20,28,2025-11-09 12:10:10,2025-11-09 13:19:10,Delivered,1639.7,UPI,356.26,3
250,57,27,2026-03-30 19:25:18,2026-03-30 20:03:18,Delivered,321.71,Cash,273.45,3
251,58,3,2026-04-30 19:45:27,2026-04-30 20:53:27,Delivered,526.4,UPI,124.11,3
252,76,32,2026-04-25 19:33:48,2026-04-25 20:46:48,Delivered,518.05,UPI,313.72,1
253,84,10,2025-11-07 01:19:20,2025-11-07 01:42:20,Delivered,1660.85,UPI,346.46,2
254,84,28,2026-04-14 21:58:31,2026-04-14 23:20:31,Delivered,1423.4,Credit Card,481.4,3
255,75,1,2025-10-25 00:54:45,2025-10-25 02:02:45,Delivered,1522.26,Credit Card,170.1,3
256,3,43,2025-07-18 09:25:52,2025-07-18 10:47:52,Delivered,1804.76,Debit Card,118.18,5
257,69,44,2025-07-12 22:33:09,2025-07-12 23:41:09,Cancelled,2278.12,Cash,194.55,2
258,63,26,2025-10-01 19:23:19,2025-10-01 20:10:19,Delivered,775.16,Debit Card,71.01,5
259,69,19,2025-10-19 12:58:45,2025-10-19 13:45:45,Delivered,313.15,Debit Card,129.15,5
260,25,11,2025-09-07 04:24:50,2025-09-07 05:37:50,Delivered,1489.88,Cash,400.73,1
261,24,18,2026-04-25 18:37:54,2026-04-25 19:59:54,Cancelled,1211.84,Cash,399.23,4
262,33,10,2025-07-12 04:20:11,2025-07-12 04:58:11,Pending,2392.3,UPI,345.26,3
263,96,24,2026-04-13 00:51:47,2026-04-13 01:53:47,Delivered,482.3,Cash,454.7,2
264,27,47,2026-04-05 23:07:21,2026-04-05 23:31:21,Delivered,2009.61,Debit Card,219.25,2
265,25,34,2025-09-23 20:30:58,2025-09-23 21:38:58,Delivered,1137.98,Cash,423.69,5
